IMG_acc	Genbank_acc	Locus_tag	Locus_tag_orig	Strain_name	Strain_name_orig	Phylotype	SDP	Species	Host	Study	Origin	Ref
2758568598	NA	Ga0227306		ESL0324		Snodgrassella	snod_1	Snodgrassella alvi	Apis mellifera 	Ellegaard et al. (2020)	"Switzerland, Engel apiary"	No
2758568600	NA	Ga0227304		ESL0304		Snodgrassella	snod_1	Snodgrassella alvi	Apis mellifera	Ellegaard et al. (2020)	"Switzerland, Engel apiary"	No
	NZ_JACFRP	H3U73		W8124		Snodgrassella	snod_1	Snodgrassella alvi	Apis mellifera	"Wu, J. and Zheng, H."	China	No
	NZ_JACFQX	H3T75		W8135		Snodgrassella	snod_1	Snodgrassella alvi	Apis mellifera	"Wu, J. and Zheng, H."	China	No
	NZ_JACFQK	H3T79		M0118		Snodgrassella	snod_1	Snodgrassella alvi	Apis mellifera	"Wu, J. and Zheng, H."	China	No
	NZ_JACFRQ	H3U82		W8132		Snodgrassella	snod_1	Snodgrassella alvi	Apis mellifera	"Wu, J. and Zheng, H."	China	No
	NZ_JACFSI	H3V10		W6238H14		Snodgrassella	snod_1	Snodgrassella alvi	Apis mellifera	"Wu, J. and Zheng, H."	China	No
	NZ_JACFSG	H3V01		M0351		Snodgrassella	snod_1	Snodgrassella alvi	Apis mellifera	"Wu, J. and Zheng, H."	China	No
	NZ_JACFSM	H3V11		W8158		Snodgrassella	snod_1	Snodgrassella alvi	Apis mellifera	"Wu, J. and Zheng, H."	China	No
NA	MEIM	BHC53 		wkB237 		Snodgrassella	snod_2		Apis andreiformis	Steele et al. (2017)	"""Singapore: Hort Park"" "	Yes
NA	MEIK	BHC43 		wkB298 		Snodgrassella	snod_2		Apis cerana	Steele et al. (2017)	"""Singapore: Hort Park"" "	No
NA	MEIL	BHC54 		wkB273 		Snodgrassella	snod_2		Apis florea	Steele et al. (2017)	"""Singapore: Clementi Park"" "	No
NA	MEIR	BHC44 		Nev4-2 		Snodgrassella	snod_bombus		Bombus nevadensis	Steele et al. (2017)	"""USA"" "	No
	NZ_MEIP	BHC46		Ruf1-X		Snodgrassella	snod_bombus	Snodgrassella alvi	Bombus rufocinctus	Steele et al. (2017)	USA	No
NA	MEIQ	BHC48 		Occ4-2 		Snodgrassella	snod_bombus		Bombus occidentalis	Steele et al. (2017)	"""USA"" "	No
NA	MEIU	BHC57 		HK3 		Snodgrassella	snod_bombus		Bombus pensylvanicus	Steele et al. (2017)	"""USA"" "	No
	NZ_MDVB	BGI32		App2-2		Snodgrassella	snod_bombus		Bombus appositus	Steele et al. (2017)	"""USA"" "	No
	NZ_MDVD	BGI34		App6-4		Snodgrassella	snod_bombus		Bombus appositus	Steele et al. (2017)	"""USA"" "	No
	NZ_MDVF	BGI36		Fer2-2		Snodgrassella	snod_bombus		Bombus fervidus	Steele et al. (2017)	"""USA"" "	No
2585427850	JFZW	SALWKB12		wkB12		Snodgrassella	snod_bombus		Bombus bimaculatus	Kwong et al. (2014b)	"USA, West Haven"	Yes
2758568596	NA	Ga0227310		ESL0253		Snodgrassella	snod_bombus		Bombus pascuorum	Ellegaard et al. (2020)	"Switzerland, Engel apiary"	No
